Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Mario no Picross (Japan) (SGB Enhanced).gb,MARIO'S PICROSS,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Nintendo R&D1,False,None,True,0,Japan,False
"Super Mario Land 2 - 6 Golden Coins (USA, Europe) (Rev A).gb",MARIOLAND2,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo,True,None,False,1,Non-Japan (0x1),False
Ultimate Fighting Championship (USA).gbc,UFC    CGB-BUCE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'4Z',4Z)",False,CGB Only,False,0,Non-Japan (0x1),True
Q Billion (Japan).gb,QBILLION,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Seta,True,None,False,0,Japan,False
Retroid.gb,RETROID,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,None,True,None,False,1,Japan,False
"Tamagotchi (USA, Europe) (SGB Enhanced).gb",GB TAMAGOTCHI   ,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'B2',B2)",False,None,True,0,Non-Japan (0x1),True
Double Yakuman II (Japan).gb,DOUBLEYAKUMAN2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Vap,True,None,False,0,Japan,False
Laura (USA).gbc,LAURABPXE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,UbiSoft,False,CGB Only,False,0,Non-Japan (0x1),False
Riddick Bowe Boxing (Europe).gb,RIDDICK BOWE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,False,None,False,0,Non-Japan (0x1),False
"Tetris Blast (USA, Europe) (SGB Enhanced).gb",TETRIS BLAST,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Hiden Inyou Kikouhou - Ca Da (Japan).gb, ---  CADA  --- ,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Yonezawas Pal,True,None,False,0,Japan,False
NHL Blades of Steel (USA).gbc,BLADES OF STEEL,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Konami,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"World Cup USA 94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv).gb",WORLD CUP USA 94,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,U.S Gold,True,None,False,0,Non-Japan (0x1),False
