Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
"Olympic Summer Games (USA, Europe) (SGB Enhanced).gb",OLYMPIC GAMES,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
"Ren & Stimpy Show, The - Space Cadet Adventures (USA).gb",REN AND STIMPY,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Mega Man II (USA).gb,MEGA MAN 2,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Jordan vs Bird - One on One (USA, Europe).gb",JORDAN VS BIRD,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Malibu Beach Volleyball (USA).gb,"BEACH,VOLLEYBALL",MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
InfoGenius Productivity Pak - Personal Organizer and Phone Book (USA).gb,PERSONAL ORGANIZ,MBC1+RAM+BATTERY,MBC1,4,1,0x800,0x10000,None,No,0,Non-Japan (0x1)
"Felix the Cat (USA, Europe).gb",FELIX THE CAT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pipe Dream (USA).gb,PIPE DREAM,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Bonk's Revenge (USA) (SGB Enhanced).gb,BONKSREVENGE,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Fish Dude (USA).gb,FISH DUDE,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
"Looney Tunes (USA, Europe).gb",LOONEY TUNES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"NFL Quarterback Club II (USA, Europe).gb",NFL QUARTERBACK,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
Ultima - Runes of Virtue (USA).gb,RUNES OF VIRTUE,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Non-Japan (0x1)
Ninja Gaiden Shadow (USA).gb,NINJA GAIDEN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Top Gun - Guts & Glory (USA, Europe).gb",TOPGUN 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
SolarStriker (World).gb,SOLARSTRIKER,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Heiankyo Alien (USA).gb,HEIANKYO ALIEN,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Hudson Hawk (USA).gb,HUDSON HAWK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Kirby's Block Ball (USA, Europe) (SGB Enhanced).gb",KIRBY BLOCKBALL,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Non-Japan (0x1)
"Centipede (USA, Europe).gb",CENTIPEDE,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Nobunaga's Ambition (USA).gb,NOBUNAGA,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Non-Japan (0x1)
Game & Watch Gallery (USA) (SGB Enhanced).gb,G&W GALLERY,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,Yes,0,Non-Japan (0x1)
Castlevania - The Adventure (USA).gb,CASTLEVANIA ADVE,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Q Billion (USA).gb,QBILLION,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
"Simpsons, The - Bart & the Beanstalk (USA, Europe).gb",SIMPSONS3,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Elite Soccer (USA) (SGB Enhanced).gb,ELITE SOCCER,MBC1,MBC1,8,0,0x0,0x20000,None,Yes,0,Non-Japan (0x1)
BreakThru! (USA).gb,BREAKTHRU!,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Dick Tracy (USA).gb,DICK TRACY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Little Mermaid, The (USA).gb",LITTLE MERMAID,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
