Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Kuma no Puutarou - Takara Sagashi da Ooiri Game Battle! (Japan) (SGB Enhanced).gb,KUMANOPUTARO,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Gekitou Power Modeller (Japan) (SGB Enhanced).gb,POWER MODELLER,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Bubble Bobble Junior (Japan).gb,BUBBLEBOBBLEJR,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Pocket Kyoro-chan (Japan) (SGB Enhanced).gb,POCKET KYOROCHAN,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,Yes,0,Japan
Chou Mashin Eiyuu Den Wataru - Mazekko Monster 2 (Japan) (SGB Enhanced).gb,MAZEKKO MONSTER2,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Genjin Cottsu (Japan) (SGB Enhanced).gb,GENJINCOTTU,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Pachio-kun 2 (Japan).gb,PACHIOKUN 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Megalit (Japan).gb,MEGALIT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Penguin Land (Japan).gb,PENGUIN LAND,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Aoki Densetsu Shoot! (Japan) (SGB Enhanced).gb,SHOOT,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Fushigi na Blobby - Princess Blob o Sukue! (Japan).gb,FUSHIGINA BULOBI,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Namco Gallery Vol.1 (Japan) (SGB Enhanced).gb,GALLERY1,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Goukaku Boy Series - Gakken - Kanyouku Kotowaza 210 (Japan).gb,KANYOUKU,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Nanonote (Japan).gb,NANONOTE,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Ganbare Goemon - Kurofunetou no Nazo (Japan) (SGB Enhanced).gb,GANBARE GOEMON 2,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,Yes,0,Japan
Tekichuu Rush (Japan).gb,TEKICHU RUSH,MBC2+BATTERY,MBC2,4,1,0x100,0x10000,None,No,0,Japan
Migrain (Japan).gb,MIGRAIN ACCLAIM,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
T2 - The Arcade Game (Japan).gb,TERMINATOR 2 TAG,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Kinnikuman - The Dream Match (Japan).gb,GB KINNIKUMAN DM,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Mahoujin Guruguru (Japan) (SGB Enhanced).gb,MAHOUJINGURUGURU,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Virtual Wars (Japan).gb,VIRTUAL WARS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Winner's Horse (Japan).gb,WINNER'S HORSE,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Nettou World Heroes 2 Jet (Japan) (SGB Enhanced).gb,NETTOU WH2JET,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Tiny Toon Adventures (Japan).gb,TINY TOON ADVENT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Krusty World (Japan).gb,KRUSTY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
GB Pachi-Slot Hisshouhou! Jr (Japan).gb,PACHISLOT JR 01,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Rubble Saver II (Japan).gb,RUBBLE SAVER 2,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Puzzle Boy (Japan).gb,PUZZLE BOY,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Pingu - Sekai de 1ban Genki na Penguin (Japan).gb,GB PINGU 1,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Street Racer (Japan).gb,STREET RACER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Yu Yu Hakusho Dai-3-dan - Makai no Tobira Hen (Japan).gb,YUUYUU-3,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Goukaku Boy Series - Shikakui Atama o Maruku Suru - Kokugo Battle Hen (Japan).gb,SIKAKKOKUGOAJ6J,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Ippatsu Gyakuten! DX Bakenou (Japan).gb,BAKENOU,MBC1+RAM+BATTERY,MBC1,4,1,0x800,0x10000,None,No,0,Japan
Super Robot Taisen (Japan).gb,SUPER ROBOT WAR,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Looney Tunes Series - Daffy Duck (Japan) (SGB Enhanced).gb,DAFFY DUCK,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Battle Dodge Ball (Japan).gb,BATTLE DODGEBALL,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Nekketsu! Beach Volley Da yo Kunio-kun (Japan) (SGB Enhanced).gb,BEACH_VOLLEY,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Hon Shougi (Japan) (SGB Enhanced).gb,HON SHOGI,MBC1+RAM+BATTERY,MBC1,4,1,0x800,0x10000,None,Yes,0,Japan
Vitamina Oukoku Monogatari (Japan).gb,VITAMINA KINGDOM,MBC1+RAM+BATTERY,MBC1,16,1,0x800,0x40000,None,No,0,Japan
Snoopy - Magic Show (Japan).gb,SNOOPY,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Ultraman (Japan).gb,ULTRAMAN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Ultraman Chou Toushi Gekiden (Japan) (SGB Enhanced).gb,ULTRAMAN GEKIDEN,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Bubble Ghost (Japan).gb,BUBBLE GHOST,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Kingyo Chuuihou! 2 - Gyopi-chan o Sagase! (Japan).gb,KINGYO CHUIHOU 2,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Bouken! Puzzle Road (Japan).gb,PUZZLE ROAD,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Magic Knight Rayearth 2nd. - The Missing Colors (Japan) (SGB Enhanced).gb,RAYEARTH2,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,Yes,0,Japan
"New Chessmaster, The (Japan) (En,Ja).gb",NEW CHESSMASTER,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Pinball - 66hiki no Wani Daikoushin! (Japan).gb,PINBALL,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Kaeru no Tame ni Kane wa Naru (Japan).gb,KAERUNOTAMENI,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,No,0,Japan
Hitori de Dekirumon! - Cooking Densetsu (Japan).gb,COOKING DENSETU,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Booby Boys (Japan).gb,BOOBY BOYS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Oira Jajamaru! Sekai Daibouken (Japan).gb,OIRA JAJAMARU,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Jordan vs Bird - One on One (Japan).gb,JORDAN ONEONONE,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
J.League Big Wave Soccer (Japan) (SGB Enhanced).gb,BIG WAVE SOCCER,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,Yes,0,Japan
NBA Jam - Tournament Edition (Japan).gb,NBA JAM TE,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Japan
Racing Damashii (Japan).gb,RACING DAMASHII,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
